
2023/10/08 (13:05:36) | ===> btop++ v.1.2.13
2023/10/08 (13:05:36) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/07/21 (11:33:32) | ===> btop++ v.1.3.2
2024/07/21 (11:33:32) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/08/26 (15:17:04) | ===> btop++ v.1.3.2
2024/08/26 (15:17:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/27 (08:45:15) | ===> btop++ v.1.3.2
2024/08/27 (08:45:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/28 (10:17:41) | ===> btop++ v.1.3.2
2024/08/28 (10:17:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/29 (11:01:23) | ===> btop++ v.1.3.2
2024/08/29 (11:01:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/30 (09:10:26) | ===> btop++ v.1.3.2
2024/08/30 (09:10:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/02 (09:28:05) | ===> btop++ v.1.3.2
2024/09/02 (09:28:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/03 (09:11:19) | ===> btop++ v.1.3.2
2024/09/03 (09:11:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/04 (09:19:05) | ===> btop++ v.1.3.2
2024/09/04 (09:19:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/04 (09:19:45) | ===> btop++ v.1.3.2
2024/09/04 (09:19:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/04 (09:19:56) | ===> btop++ v.1.3.2
2024/09/04 (09:19:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/05 (09:18:21) | ===> btop++ v.1.3.2
2024/09/05 (09:18:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/06 (08:54:55) | ===> btop++ v.1.3.2
2024/09/06 (08:54:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/16 (09:11:49) | ===> btop++ v.1.3.2
2024/09/16 (09:11:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/17 (07:39:53) | ===> btop++ v.1.3.2
2024/09/17 (07:39:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/18 (10:02:52) | ===> btop++ v.1.3.2
2024/09/18 (10:02:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/19 (10:20:58) | ===> btop++ v.1.3.2
2024/09/19 (10:20:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/20 (09:18:44) | ===> btop++ v.1.3.2
2024/09/20 (09:18:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/20 (11:53:28) | ===> btop++ v.1.3.2
2024/09/20 (11:53:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/23 (09:20:46) | ===> btop++ v.1.3.2
2024/09/23 (09:20:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/24 (09:29:56) | ===> btop++ v.1.3.2
2024/09/24 (09:29:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/25 (09:18:50) | ===> btop++ v.1.4.0
2024/09/25 (09:18:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/26 (09:09:34) | ===> btop++ v.1.4.0
2024/09/26 (09:09:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/27 (10:32:05) | ===> btop++ v.1.4.0
2024/09/27 (10:32:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/30 (09:16:16) | ===> btop++ v.1.4.0
2024/09/30 (09:16:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/01 (09:25:54) | ===> btop++ v.1.4.0
2024/10/01 (09:25:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/02 (10:29:54) | ===> btop++ v.1.4.0
2024/10/02 (10:29:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/03 (10:47:18) | ===> btop++ v.1.4.0
2024/10/03 (10:47:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/04 (15:26:56) | ===> btop++ v.1.4.0
